features,rank
295,1
294,1
3,1
64,1
271,1
6,1
281,1
43,1
39,1
36,1
33,1
29,1
25,1
23,1
66,2
127,3
17,4
140,5
293,6
42,6
41,8
67,9
20,10
290,10
169,12
44,13
4,14
45,15
34,16
48,16
171,18
71,18
291,20
172,21
51,22
280,23
177,24
72,25
210,26
38,26
84,28
285,29
11,30
292,31
68,32
176,33
170,34
61,35
73,36
143,37
13,38
178,39
257,40
74,41
256,42
46,43
174,43
198,45
185,46
173,47
22,48
278,49
69,50
80,51
77,52
197,53
183,54
82,55
207,56
90,57
88,58
7,59
282,59
234,61
180,62
89,63
87,63
5,65
75,66
85,66
78,68
186,69
54,70
175,70
102,72
284,73
37,74
258,74
189,76
56,77
83,78
195,78
70,80
158,81
91,82
65,83
16,84
246,85
168,86
1,87
200,88
96,88
212,90
279,91
283,91
288,93
196,94
245,95
18,96
47,97
145,98
250,98
31,100
190,101
205,102
181,103
267,104
213,105
263,106
188,107
225,107
206,109
95,110
81,111
135,112
265,113
182,113
155,115
221,115
136,117
236,118
191,119
114,120
262,121
21,122
144,123
219,124
286,125
193,126
217,126
240,128
222,129
237,129
277,131
204,132
93,132
108,134
139,134
211,136
233,136
266,138
9,138
254,140
141,141
86,141
99,143
150,144
79,145
124,146
49,147
209,148
243,149
148,150
187,151
287,152
231,153
26,154
24,155
223,156
119,157
142,158
255,159
248,160
203,161
137,162
224,163
259,164
160,164
249,166
167,167
32,168
226,169
103,170
35,171
116,172
247,173
154,174
192,174
215,176
132,177
94,178
199,179
253,179
134,181
220,182
214,183
106,183
166,185
241,185
157,187
129,188
97,188
152,190
151,191
227,192
110,193
216,194
244,194
125,196
138,197
229,198
98,198
105,200
159,201
162,202
149,202
28,204
53,204
113,206
218,206
153,208
239,210
147,210
14,210
111,212
92,213
19,214
123,215
201,216
122,216
289,218
164,219
62,219
260,221
228,222
63,222
57,224
27,225
15,225
131,227
251,228
238,228
118,230
121,231
100,231
235,233
264,234
126,235
208,236
130,237
10,238
107,239
55,239
112,241
165,241
194,243
58,244
8,245
163,246
261,247
232,247
230,249
120,250
2,250
50,252
12,253
156,254
30,255
146,256
40,258
52,258
115,258
202,260
101,260
0,262
133,262
128,264
109,264
242,266
161,267
117,268
252,268
104,270
60,271
76,272
273,278
269,278
270,278
272,278
59,278
276,278
275,278
179,278
184,278
268,278
274,278
